TotalPopulation,FemalePopulation,MalePopulation,BirthRate,DeathRate,MaleExpectancy,FemaleExpectancy,PriEnroll,TerEnroll,PriComple,LiterRate,Country,Year
333287557,168266219,165021339,,,,,,,,,USA,2022
332031554,167550001,164481553,11,10.4,73.5,79.3,,,,,USA,2021
331511512,167203010,164308503,10.9,10.3,74.2,79.9,100.305793762207,87.5676574707031,100.923667907715,,USA,2020
328329953,165599805,162730147,11.4,8.7,76.3,81.4,100.981300354004,87.8887100219727,100.489051818848,,USA,2019
326838199,164926348,161911851,11.6,8.678,76.2,81.2,101.256561279297,88.2991790771484,100.092697143555,,USA,2018
325122128,164151818,160970309,11.8,8.638,76.1,81.1,101.821441650391,88.1673889160156,98.8321990966797,,USA,2017
323071755,163224028,159847727,12.2,8.493,76.1,81.1,101.362861633301,88.8350524902344,,,USA,2016
320738994,162158414,158580581,12.4,8.44,76.3,81.2,100.299911499023,88.8894119262695,,,USA,2015
318386329,161084758,157301571,12.5,8.237,76.5,81.3,99.6733779907227,88.6268692016602,,,USA,2014
316059947,160034189,156025758,12.4,8.215,76.4,81.2,99.455436706543,88.7264175415039,,,USA,2013
313877662,159064447,154813215,12.6,8.102,76.4,81.2,,,,,USA,2012
311583481,158043988,153539494,12.7,8.073,76.3,81.1,,,,,USA,2011
309327143,156968302,152358841,13,7.995,76.2,81,,,,,USA,2010
306771529,155660194,151111335,13.5,7.9,76,80.9,,,,,USA,2009
304093966,154289840,149804127,14,8.1,75.6,80.6,,,,,USA,2008
301231207,152829130,148402076,14.3,8,75.5,80.6,,,,,USA,2007
298379912,151383683,146996229,14.3,8.1,75.2,80.3,,,,,USA,2006
295516599,149946323,145570277,14,8.3,75,80.1,101.8740234375,80.6348266601563,,,USA,2005
292805298,148594732,144210567,14,8.2,75,80.1,,,,,USA,2004
290107933,147242226,142865707,14.1,8.4,74.5,79.7,,,,,USA,2003
287625193,145972802,141652391,14,8.5,74.4,79.6,,,,,USA,2002
284968955,144625822,140343133,14.1,8.5,74.3,79.5,,,,,USA,2001
282162411,143251716,138910694,14.4,8.5,74.1,79.3,,,,,USA,2000
1417173173,685992675,731180498,,,,,,,,,IND,2022
1407563842,681060412,726503429,16.419,9.448,65.756,68.886,102.051307678223,31.3036403656006,97.3657073974609,,IND,2021
1396387127,675389679,720997448,16.572,7.35,68.615,71.824,99.9004592895508,29.4413261413574,94.5591354370117,,IND,2020
1383112050,668786993,714325057,17.049,6.71,69.525,72.395,96.8286819458008,28.5728988647461,91.661491394043,,IND,2019
1369003306,661854076,707149230,17.651,6.644,69.367,72.142,97.3514251708984,28.0605525970459,,91.6640396118164,IND,2018
1354195680,654607791,699587889,17.911,6.593,69.159,71.856,97.6424331665039,27.4421348571777,94.3737487792969,,IND,2017
1338636340,647012921,691623419,18.514,6.603,68.81,71.503,99.4252395629883,26.8292198181152,96.2306976318359,,IND,2016
1322866505,639323292,683543213,18.765,6.67,68.285,71.077,100.11302947998,26.7689933776855,97.7113189697266,,IND,2015
1307246509,631697152,675549357,19.049,6.79,67.651,70.602,100.104110717773,25.4321250915527,97.5711212158203,,IND,2014
1291132063,623809180,667322883,19.935,6.96,66.961,70.083,103.445571899414,23.7947120666504,96.2008895874023,,IND,2013
1274487215,615647779,658839435,20.421,7.118,66.324,69.592,109.761299133301,24.2679805755615,,,IND,2012
1257621191,607376801,650244390,20.945,7.267,65.765,69.106,106.412521362305,22.7646446228027,92.7633590698242,86.1448822021484,IND,2011
1240613620,599047591,641566029,21.438,7.385,65.327,68.645,109.101371765137,17.8338851928711,,,IND,2010
1223640160,590747758,632892402,21.934,7.479,64.962,68.215,109.451072692871,16.0309295654297,95.7462921142578,,IND,2009
1206734806,582492785,624242020,22.276,7.558,64.654,67.786,110.697380065918,15.0472097396851,94.7575836181641,,IND,2008
1189691809,574185530,615506279,22.713,7.642,64.365,67.342,110.020118713379,13.1266803741455,,,IND,2007
1172373788,565762395,606611392,23.22,7.743,64.053,66.891,,11.4863595962524,,81.130859375,IND,2006
1154638713,557161047,597477666,23.94,7.876,63.719,66.379,,10.6796398162842,,,IND,2005
1136264583,548274218,587990365,24.728,8.04,63.313,65.831,,10.9332103729248,,,IND,2004
1117415123,539178882,578236241,25.375,8.188,62.981,65.287,102.682907104492,10.6253700256348,80.0443801879883,,IND,2003
1098313039,529978166,568334873,26.082,8.363,62.573,64.729,94.7455291748047,10.176420211792,75.5600662231445,,IND,2002
1078970907,520679574,558291332,26.728,8.558,62.114,64.131,94.1149291992188,9.69449996948242,72.1695404052734,76.4256973266602,IND,2001
1059633675,511410095,548223581,27.001,8.701,61.754,63.639,94.2711181640625,9.50872039794922,71.4861068725586,,IND,2000
1412175000,691528501,720646499,,,,,,,,,CHN,2022
1412360000,691219627,721140373,7.52,7.18,75.463,81.155,104.123260498047,63.6019592285156,,,CHN,2021
1411100000,690171848,720928153,8.52,7.07,75.305,81.058,103.173957824707,58.4201011657715,,99.8099975585938,CHN,2020
1407745000,688179990,719565010,10.41,7.09,75.298,80.816,101.925720214844,53.7649116516113,,,CHN,2019
1402760000,685468978,717291023,10.86,7.08,75.046,80.637,100.222747802734,50.6044387817383,,99.7835998535156,CHN,2018
1396215000,682006802,714208198,12.64,7.06,74.433,80.321,99.4048080444336,49.0732612609863,,,CHN,2017
1387790000,677689913,710100087,13.57,7.04,74.582,80.053,97.9619216918945,48.0190200805664,,,CHN,2016
1379860000,673690703,706169297,11.99,7.07,74.379,79.772,96.318603515625,46.0404281616211,,,CHN,2015
1371860000,669700351,702159650,13.83,7.12,74.134,79.499,95.7964324951172,42.4307289123535,,,CHN,2014
1363240000,665447390,697792609,13.03,7.13,73.884,79.223,99.5645980834961,32.4336700439453,,,CHN,2013
1354190000,661013974,693176026,14.57,7.13,73.613,78.983,99.7910995483398,28.7256698608398,,,CHN,2012
1345035000,656550787,688484213,13.27,7.14,73.368,78.644,99.0470199584961,25.6478500366211,,,CHN,2011
1337705000,652992671,684712330,11.9,7.11,73.08,78.326,98.9642181396484,24.1984901428223,,99.6422882080078,CHN,2010
1331260000,649891191,681368810,11.95,7.08,72.831,78.066,100.006103515625,22.4430599212646,98.2946319580078,,CHN,2009
1324655000,646729218,677925783,12.14,7.06,72.389,77.562,100.74243927002,20.6841201782227,99.2769393920898,,CHN,2008
1317885000,643486317,674398683,12.1,6.93,72.248,77.492,100.707046508789,20.52121925354,93.3478927612305,,CHN,2007
1311020000,640203444,670816557,12.09,6.81,72.043,77.167,100.993278503418,20.2191905975342,91.6324234008789,,CHN,2006
1303720000,636711861,667008138,12.4,6.51,71.619,76.819,,19.0869998931885,,,CHN,2005
1296075000,633047012,663027988,12.29,6.42,71.275,76.433,,17.6912593841553,,,CHN,2004
1288400000,629369651,659030348,12.41,6.4,70.91,76.044,,15.4526796340942,,,CHN,2003
1280400000,625534993,654865007,12.86,6.41,70.538,75.64,,12.6284799575806,,,CHN,2002
1271850000,621436557,650413443,13.38,6.43,70.162,75.258,112.341590881348,9.78911018371582,,,CHN,2001
1262645000,617082063,645562937,14.03,6.45,69.723,74.189,,7.59041023254395,,98.8587265014648,CHN,2000
125124989,64314912,60810077,,,,,,,,,JPN,2022
125681593,64594414,61087180,6.6,11.7,81.47,87.57,,,,,JPN,2021
126261000,64885399,61375600,6.8,11.1,81.56,87.71,,,,,JPN,2020
126633000,65065286,61567714,7,11.2,81.41,87.45,97.7888336181641,64.6171188354492,,,JPN,2019
126811000,65140618,61670382,7.4,11,81.25,87.32,97.5868835449219,64.1038436889648,,,JPN,2018
126972000,65206949,61765051,7.6,10.8,81.09,87.26,97.7104873657227,63.8070411682129,,,JPN,2017
127076000,65245704,61830297,7.8,10.5,80.98,87.14,98.2427825927734,63.5844383239746,,,JPN,2016
127141000,65267090,61873910,8,10.3,80.75,86.99,98.8282928466797,63.2509803771973,,,JPN,2015
127276000,65324683,61951317,8,10.1,80.5,86.83,99.5687026977539,62.9414291381836,,,JPN,2014
127445000,65398896,62046104,8.2,10.1,80.21,86.61,100.261131286621,62.1167411804199,,,JPN,2013
127629000,65480007,62148992,8.2,10,79.94,86.41,,,,,JPN,2012
127833000,65569426,62263573,8.3,9.9,79.44,85.9,,,,,JPN,2011
128070000,65672237,62397763,8.5,9.5,79.55,86.3,,,,,JPN,2010
128047000,65637199,62409801,8.5,9.1,79.59,86.44,,,,,JPN,2009
128063000,65618491,62444510,8.7,9.1,79.29,86.05,,,,,JPN,2008
128001000,65557955,62443045,8.6,8.8,79.19,85.99,,,,,JPN,2007
127854000,65451729,62402271,8.7,8.6,79,85.81,,,,,JPN,2006
127773000,65374871,62398129,8.4,8.6,78.56,85.52,,,,,JPN,2005
127761000,65330634,62430367,8.8,8.2,78.64,85.59,,,,,JPN,2004
127718000,65270637,62447363,8.9,8,78.36,85.33,,,,,JPN,2003
127445000,65093948,62351052,9.2,7.8,78.32,85.23,,,,,JPN,2002
127149000,64907199,62241801,9.3,7.7,78.07,84.93,,,,,JPN,2001
126843000,64716290,62126711,9.5,7.7,77.72,84.6,,,,,JPN,2000
38929902,19583244,19346659,,,,,,,,,CAN,2022
38226498,19230969,18995529,9.6,7.8,80.621,84.671,,,,,CAN,2021
38007166,19121762,18885404,9.5,8.1,79.49,83.96,101.848617553711,79.5169219970703,,,CAN,2020
37601230,18921018,18680213,9.9,7.6,80.18,84.38,100.989753723145,75.6988220214844,,,CAN,2019
37065084,18659541,18405543,10.1,7.7,79.8,83.99,101.501091003418,70.1130218505859,,,CAN,2018
36545236,18406915,18138320,10.3,7.5,79.75,84.02,100.94367980957,68.9225082397461,,,CAN,2017
36109487,18192222,17917265,10.6,7.4,79.92,84.03,101.023872375488,66.4391784667969,,,CAN,2016
35702908,17988513,17714395,10.7,7.4,79.84,83.89,102.485076904297,64.7869567871094,,,CAN,2015
35437435,17855282,17582153,10.9,7.3,79.76,83.91,101.536659240723,65.612907409668,,,CAN,2014
35082954,17680037,17402916,10.9,7.2,79.74,83.85,100.340713500977,65.3322982788086,,,CAN,2013
34714222,17500980,17213242,11,7.1,79.61,83.82,99.5182800292969,63.980770111084,,,CAN,2012
34339328,17318413,17020916,11,7.1,79.39,83.68,98.1893692016602,63.4673194885254,,,CAN,2011
34004889,17152260,16852629,11.2,7,79.21,83.54,98.6416015625,61.6558494567871,,,CAN,2010
33628895,16962677,16666218,11.4,7.1,78.91,83.33,99.0087966918945,63.0657691955566,,,CAN,2009
33247118,16769997,16477121,11.5,7.2,78.51,83.05,98.013313293457,63.7673988342285,,,CAN,2008
32889025,16588348,16300676,11.3,7.1,78.29,82.91,98.9664764404297,63.6000595092773,,,CAN,2007
32571174,16427039,16144134,11,7,78.29,82.91,98.8806304931641,,,,CAN,2006
32243753,16263117,15980635,10.7,7.1,77.82,82.52,97.3645706176758,,,,CAN,2005
31940655,16112389,15828266,10.6,7.1,77.68,82.42,98.4767990112305,,,,CAN,2004
31644028,15963984,15680044,10.6,7.1,77.32,82.23,,,,,CAN,2003
31360079,15821972,15538106,10.5,7.1,77.16,82.02,,59.5465888977051,,,CAN,2002
31020902,15654835,15366067,10.8,7.1,76.92,82,,,,,CAN,2001
30685730,15492171,15193559,10.7,7.1,76.64,81.82,100.788772583008,59.1144599914551,97.8178405761719,,CAN,2000
66971411,33876563,33094847,,,,,,,,,GBR,2022
67026300,33913563,33112737,10.1,9.7,78.7,82.8,,,,,GBR,2021
67081234,33948108,33133126,10.1,10.1,78.4,82.4,99.6551971435547,69.4837265014648,99.4334030151367,,GBR,2020
66836327,33835792,33000535,10.7,9,79.6,83.3,100.49146270752,65.7733612060547,101.594688415527,,GBR,2019
66460344,33662065,32798279,11,9.2,79.5,83.1,100.995552062988,61.3828887939453,100.597457885742,,GBR,2018
66058859,33477363,32581496,11.4,9.2,79.5,83.1,101.154556274414,59.9955711364746,100.122863769531,,GBR,2017
65611593,33270675,32340918,11.8,9.1,79.4,83,101.33521270752,58.4256210327148,100.882553100586,,GBR,2016
65116219,33041408,32074811,11.9,9.2,79.2,82.8,101.925270080566,56.4584884643555,102.010498046875,,GBR,2015
64602298,32802913,31799385,12,8.8,79.5,83.2,102.255546569824,56.5644989013672,,,GBR,2014
64128273,32584323,31543950,12.1,9,79.2,82.9,107.111999511719,57.038761138916,,,GBR,2013
63700215,32390769,31309446,12.8,8.9,79.1,82.8,106.246078491211,59.4021186828613,,,GBR,2012
63258810,32189405,31069406,12.8,8.7,79,83,104.425712585449,59.1459312438965,,,GBR,2011
62766365,31960504,30805860,12.9,8.9,78.5,82.4,104.554908752441,58.9233512878418,,,GBR,2010
62276270,31732553,30543717,12.7,9,78.1,82.1,104.259788513184,57.9005317687988,,,GBR,2009
61806995,31516343,30290652,12.9,9.4,77.6,81.7,105.061889648438,56.6439094543457,,,GBR,2008
61322463,31293296,30029168,12.6,9.4,77.4,81.6,103.240600585938,58.4945106506348,,,GBR,2007
60846820,31072904,29773916,12.3,9.4,77.2,81.4,105.068580627441,59.0324401855469,,,GBR,2006
60401206,30867389,29533818,12,9.6,77,81.2,106.386169433594,58.9660987854004,,,GBR,2005
59987905,30678379,29309526,11.9,9.7,76.6,81,105.935173034668,59.3514518737793,,,GBR,2004
59647577,30526615,29120962,11.7,10.2,76.3,80.7,99.9933166503906,62.0685615539551,,,GBR,2003
59370479,30406325,28964154,11.3,10.2,75.9,80.5,99.8226318359375,62.568431854248,,,GBR,2002
59119673,30296779,28822894,11.3,10.2,75.7,80.4,100.229919433594,59.2684707641602,,,GBR,2001
58892514,30197282,28695232,11.5,10.3,75.4,80.2,100.35871887207,58.4740409851074,,,GBR,2000
59893885,30725879,29168006,,,,,,,,,ZAF,2022
59392255,30497646,28894608,19.821,11.432,59.458,64.999,,,,,ZAF,2021
58801927,30221143,28580784,20.326,9.425,62.178,67.964,97.4091262817383,24.2362995147705,,,ZAF,2020
58087055,29879107,28207948,21.276,8.614,62.834,69.107,98.3744735717773,23.8665599822998,91.9994888305664,98.4095306396484,ZAF,2019
57339635,29517286,27822349,21.137,8.765,62.203,68.74,98.5389022827148,23.8019599914551,90.3444976806641,,ZAF,2018
56641209,29175940,27465269,20.643,8.802,61.954,68.43,100.864730834961,22.3660297393799,,95.3238220214844,ZAF,2017
56422274,29004108,27418165,20.25,8.924,61.307,67.794,103.184959411621,20.9184494018555,87.2553329467773,,ZAF,2016
55876504,28721087,27155417,21.3,9.259,60.709,66.781,105.570388793945,22.260929107666,90.1104888916016,98.9557800292969,ZAF,2015
54729551,28228865,26500685,22.057,9.432,60.062,66.259,102.704963684082,19.8092403411865,,98.8822784423828,ZAF,2014
53873616,27837495,26036121,22.177,9.77,59.352,65.267,102.670402526855,19.9304904937744,,,ZAF,2013
53145033,27493643,25651390,22.353,9.993,58.775,64.449,103.229202270508,19.1436595916748,,98.8820419311523,ZAF,2012
52443325,27164417,25278908,22.282,10.592,57.731,63.111,103.418388366699,19.6080207824707,,98.7896575927734,ZAF,2011
51784921,26857414,24927507,22.274,11.257,56.067,61.266,104.729377746582,18.3626308441162,,98.6441268920898,ZAF,2010
51170779,26570865,24599914,22.664,11.947,54.728,59.722,106.341697692871,,,98.3650894165039,ZAF,2009
50565812,26287724,24278088,24.08,12.543,53.488,58.111,107.526397705078,,,,ZAF,2008
49996094,26023987,23972107,22.629,12.973,52.691,56.852,108.024749755859,,,97.5707778930664,ZAF,2007
49491756,25795511,23696246,22.455,13.234,52.209,55.892,106.250091552734,,,,ZAF,2006
49017147,25583854,23433293,21.913,13.177,52.064,55.431,105.948272705078,,,,ZAF,2005
48556071,25379489,23176582,21.261,12.947,51.891,55.721,106.446632385254,,95.6549224853516,,ZAF,2004
48104048,25178665,22925383,20.473,12.657,51.97,56.232,105.426368713379,,90.579948425293,,ZAF,2003
47661514,24979734,22681781,20.04,11.784,53.191,57.668,103.968452453613,,86.3408279418945,,ZAF,2002
47229714,24781908,22447806,20.392,10.871,54.565,59.47,101.990463256836,,,,ZAF,2001
46813266,24591889,22221377,20.705,10.174,55.397,61.049,101.489212036133,,81.0422515869141,,ZAF,2000
